"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"160";"T001038";"10000";"T001019";"PV20  ";"1988JJ00";"  556757"
"161";"T001038";"10000";"T001019";"PV20  ";"1989JJ00";"  555200"
"162";"T001038";"10000";"T001019";"PV20  ";"1990JJ00";"  553862"
"163";"T001038";"10000";"T001019";"PV20  ";"1991JJ00";"  554604"
"164";"T001038";"10000";"T001019";"PV20  ";"1992JJ00";"  555226"
"165";"T001038";"10000";"T001019";"PV20  ";"1993JJ00";"  555397"
"166";"T001038";"10000";"T001019";"PV20  ";"1994JJ00";"  556607"
"167";"T001038";"10000";"T001019";"PV20  ";"1995JJ00";"  557995"
"168";"T001038";"10000";"T001019";"PV20  ";"1996JJ00";"  558113"
"169";"T001038";"10000";"T001019";"PV20  ";"1997JJ00";"  558124"
"170";"T001038";"10000";"T001019";"PV20  ";"1998JJ00";"  558017"
"171";"T001038";"10000";"T001019";"PV20  ";"1999JJ00";"  559988"
"172";"T001038";"10000";"T001019";"PV20  ";"2000JJ00";"  562646"
"173";"T001038";"10000";"T001019";"PV20  ";"2001JJ00";"  566489"
"174";"T001038";"10000";"T001019";"PV20  ";"2002JJ00";"  570480"
"175";"T001038";"10000";"T001019";"PV20  ";"2003JJ00";"  572997"
"176";"T001038";"10000";"T001019";"PV20  ";"2004JJ00";"  574384"
"177";"T001038";"10000";"T001019";"PV20  ";"2005JJ00";"  575072"
"178";"T001038";"10000";"T001019";"PV20  ";"2006JJ00";"  574042"
"179";"T001038";"10000";"T001019";"PV20  ";"2007JJ00";"  573614"
"180";"T001038";"10000";"T001019";"PV20  ";"2008JJ00";"  573459"
"181";"T001038";"10000";"T001019";"PV20  ";"2009JJ00";"  574092"
"182";"T001038";"10000";"T001019";"PV20  ";"2010JJ00";"  576668"
"183";"T001038";"10000";"T001019";"PV20  ";"2011JJ00";"  579036"
"184";"T001038";"10000";"T001019";"PV20  ";"2012JJ00";"  580875"
"185";"T001038";"10000";"T001019";"PV20  ";"2013JJ00";"  581705"
"186";"T001038";"10000";"T001019";"PV20  ";"2014JJ00";"  582728"
"187";"T001038";"10000";"T001019";"PV20  ";"2015JJ00";"  583942"
"188";"T001038";"10000";"T001019";"PV20  ";"2016JJ00";"  583721"
"189";"T001038";"10000";"T001019";"PV20  ";"2017JJ00";"  583581"
"190";"T001038";"10000";"T001019";"PV20  ";"2018JJ00";"  582944"
"191";"T001038";"10000";"T001019";"PV20  ";"2019JJ00";"  583990"
"288";"T001038";"10000";"T001019";"PV24  ";"1988JJ00";"  193739"
"289";"T001038";"10000";"T001019";"PV24  ";"1989JJ00";"  202678"
"290";"T001038";"10000";"T001019";"PV24  ";"1990JJ00";"  211507"
"291";"T001038";"10000";"T001019";"PV24  ";"1991JJ00";"  221505"
"292";"T001038";"10000";"T001019";"PV24  ";"1992JJ00";"  232823"
"293";"T001038";"10000";"T001019";"PV24  ";"1993JJ00";"  243441"
"294";"T001038";"10000";"T001019";"PV24  ";"1994JJ00";"  253699"
"295";"T001038";"10000";"T001019";"PV24  ";"1995JJ00";"  262325"
"296";"T001038";"10000";"T001019";"PV24  ";"1996JJ00";"  272843"
"297";"T001038";"10000";"T001019";"PV24  ";"1997JJ00";"  281472"
"298";"T001038";"10000";"T001019";"PV24  ";"1998JJ00";"  293286"
"299";"T001038";"10000";"T001019";"PV24  ";"1999JJ00";"  306468"
"300";"T001038";"10000";"T001019";"PV24  ";"2000JJ00";"  317206"
"301";"T001038";"10000";"T001019";"PV24  ";"2001JJ00";"  328936"
"302";"T001038";"10000";"T001019";"PV24  ";"2002JJ00";"  341721"
"303";"T001038";"10000";"T001019";"PV24  ";"2003JJ00";"  351680"
"304";"T001038";"10000";"T001019";"PV24  ";"2004JJ00";"  359904"
"305";"T001038";"10000";"T001019";"PV24  ";"2005JJ00";"  365859"
"306";"T001038";"10000";"T001019";"PV24  ";"2006JJ00";"  370656"
"307";"T001038";"10000";"T001019";"PV24  ";"2007JJ00";"  374424"
"308";"T001038";"10000";"T001019";"PV24  ";"2008JJ00";"  378688"
"309";"T001038";"10000";"T001019";"PV24  ";"2009JJ00";"  383449"
"310";"T001038";"10000";"T001019";"PV24  ";"2010JJ00";"  387881"
"311";"T001038";"10000";"T001019";"PV24  ";"2011JJ00";"  391967"
"312";"T001038";"10000";"T001019";"PV24  ";"2012JJ00";"  395525"
"313";"T001038";"10000";"T001019";"PV24  ";"2013JJ00";"  398441"
"314";"T001038";"10000";"T001019";"PV24  ";"2014JJ00";"  399893"
"315";"T001038";"10000";"T001019";"PV24  ";"2015JJ00";"  401791"
