"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3363";"T001038";"GM1680";"1960JJ00";""
"3364";"T001038";"GM1680";"1961JJ00";""
"3365";"T001038";"GM1680";"1962JJ00";""
"3366";"T001038";"GM1680";"1963JJ00";""
"3367";"T001038";"GM1680";"1964JJ00";""
"3368";"T001038";"GM1680";"1965JJ00";""
"3369";"T001038";"GM1680";"1966JJ00";""
"3370";"T001038";"GM1680";"1967JJ00";""
"3371";"T001038";"GM1680";"1968JJ00";""
"3372";"T001038";"GM1680";"1969JJ00";""
"3373";"T001038";"GM1680";"1970JJ00";""
"3374";"T001038";"GM1680";"1971JJ00";""
"3375";"T001038";"GM1680";"1972JJ00";""
"3376";"T001038";"GM1680";"1973JJ00";""
"3377";"T001038";"GM1680";"1974JJ00";""
"3378";"T001038";"GM1680";"1975JJ00";""
"3379";"T001038";"GM1680";"1976JJ00";""
"3380";"T001038";"GM1680";"1977JJ00";""
"3381";"T001038";"GM1680";"1978JJ00";""
"3382";"T001038";"GM1680";"1979JJ00";""
"3383";"T001038";"GM1680";"1980JJ00";""
"3384";"T001038";"GM1680";"1981JJ00";""
"3385";"T001038";"GM1680";"1982JJ00";""
"3386";"T001038";"GM1680";"1983JJ00";""
"3387";"T001038";"GM1680";"1984JJ00";""
"3388";"T001038";"GM1680";"1985JJ00";""
"3389";"T001038";"GM1680";"1986JJ00";""
"3390";"T001038";"GM1680";"1987JJ00";""
"3391";"T001038";"GM1680";"1988JJ00";""
"3392";"T001038";"GM1680";"1989JJ00";""
"3393";"T001038";"GM1680";"1990JJ00";""
"3394";"T001038";"GM1680";"1991JJ00";""
"3395";"T001038";"GM1680";"1992JJ00";""
"3396";"T001038";"GM1680";"1993JJ00";""
"3397";"T001038";"GM1680";"1994JJ00";""
"3398";"T001038";"GM1680";"1995JJ00";""
"3399";"T001038";"GM1680";"1996JJ00";""
"3400";"T001038";"GM1680";"1997JJ00";""
"3401";"T001038";"GM1680";"1998JJ00";"   24806"
"3402";"T001038";"GM1680";"1999JJ00";"   24751"
"3403";"T001038";"GM1680";"2000JJ00";"   24824"
"3404";"T001038";"GM1680";"2001JJ00";"   25208"
"3405";"T001038";"GM1680";"2002JJ00";"   25552"
"3406";"T001038";"GM1680";"2003JJ00";"   25305"
"3407";"T001038";"GM1680";"2004JJ00";"   25218"
"3408";"T001038";"GM1680";"2005JJ00";"   25329"
"3409";"T001038";"GM1680";"2006JJ00";"   25507"
"3410";"T001038";"GM1680";"2007JJ00";"   25563"
"3411";"T001038";"GM1680";"2008JJ00";"   25598"
"3412";"T001038";"GM1680";"2009JJ00";"   25675"
"3413";"T001038";"GM1680";"2010JJ00";"   25563"
"3414";"T001038";"GM1680";"2011JJ00";"   25785"
"3415";"T001038";"GM1680";"2012JJ00";"   25738"
"3416";"T001038";"GM1680";"2013JJ00";"   25541"
"3417";"T001038";"GM1680";"2014JJ00";"   25357"
"3418";"T001038";"GM1680";"2015JJ00";"   25203"
"3419";"T001038";"GM1680";"2016JJ00";"   25243"
"3420";"T001038";"GM1680";"2017JJ00";"   25286"
"3421";"T001038";"GM1680";"2018JJ00";"   25390"
"3422";"T001038";"GM1000";"1960JJ00";"     725"
"3423";"T001038";"GM1000";"1961JJ00";"     733"
"3424";"T001038";"GM1000";"1962JJ00";"     741"
"3425";"T001038";"GM1000";"1963JJ00";"     734"
"3426";"T001038";"GM1000";"1964JJ00";"     744"
"3427";"T001038";"GM1000";"1965JJ00";"     755"
"3428";"T001038";"GM1000";"1966JJ00";"     752"
"3429";"T001038";"GM1000";"1967JJ00";""
"3430";"T001038";"GM1000";"1968JJ00";""
"3431";"T001038";"GM1000";"1969JJ00";""
"3432";"T001038";"GM1000";"1970JJ00";""
"3433";"T001038";"GM1000";"1971JJ00";""
"3434";"T001038";"GM1000";"1972JJ00";""
"3435";"T001038";"GM1000";"1973JJ00";""
"3436";"T001038";"GM1000";"1974JJ00";""
"3437";"T001038";"GM1000";"1975JJ00";""
"3438";"T001038";"GM1000";"1976JJ00";""
"3439";"T001038";"GM1000";"1977JJ00";""
"3440";"T001038";"GM1000";"1978JJ00";""
"3441";"T001038";"GM1000";"1979JJ00";""
"3442";"T001038";"GM1000";"1980JJ00";""
"3443";"T001038";"GM1000";"1981JJ00";""
"3444";"T001038";"GM1000";"1982JJ00";""
"3445";"T001038";"GM1000";"1983JJ00";""
"3446";"T001038";"GM1000";"1984JJ00";""
"3447";"T001038";"GM1000";"1985JJ00";""
"3448";"T001038";"GM1000";"1986JJ00";""
"3449";"T001038";"GM1000";"1987JJ00";""
"3450";"T001038";"GM1000";"1988JJ00";""
"3451";"T001038";"GM1000";"1989JJ00";""
"3452";"T001038";"GM1000";"1990JJ00";""
"3453";"T001038";"GM1000";"1991JJ00";""
"3454";"T001038";"GM1000";"1992JJ00";""
"3455";"T001038";"GM1000";"1993JJ00";""
"3456";"T001038";"GM1000";"1994JJ00";""
"3457";"T001038";"GM1000";"1995JJ00";""
"3458";"T001038";"GM1000";"1996JJ00";""
"3459";"T001038";"GM1000";"1997JJ00";""
"3460";"T001038";"GM1000";"1998JJ00";""
"3461";"T001038";"GM1000";"1999JJ00";""
"3462";"T001038";"GM1000";"2000JJ00";""
"3463";"T001038";"GM1000";"2001JJ00";""
"3464";"T001038";"GM1000";"2002JJ00";""
"3465";"T001038";"GM1000";"2003JJ00";""
"3466";"T001038";"GM1000";"2004JJ00";""
"3467";"T001038";"GM1000";"2005JJ00";""
"3468";"T001038";"GM1000";"2006JJ00";""
"3469";"T001038";"GM1000";"2007JJ00";""
"3470";"T001038";"GM1000";"2008JJ00";""
"3471";"T001038";"GM1000";"2009JJ00";""
"3472";"T001038";"GM1000";"2010JJ00";""
"3473";"T001038";"GM1000";"2011JJ00";""
"3474";"T001038";"GM1000";"2012JJ00";""
"3475";"T001038";"GM1000";"2013JJ00";""
"3476";"T001038";"GM1000";"2014JJ00";""
"3477";"T001038";"GM1000";"2015JJ00";""
"3478";"T001038";"GM1000";"2016JJ00";""
"3479";"T001038";"GM1000";"2017JJ00";""
"3480";"T001038";"GM1000";"2018JJ00";""
"3481";"T001038";"GM0738";"1960JJ00";""
"3482";"T001038";"GM0738";"1961JJ00";""
"3483";"T001038";"GM0738";"1962JJ00";""
"3484";"T001038";"GM0738";"1963JJ00";""
"3485";"T001038";"GM0738";"1964JJ00";""
"3486";"T001038";"GM0738";"1965JJ00";""
"3487";"T001038";"GM0738";"1966JJ00";""
"3488";"T001038";"GM0738";"1967JJ00";""
"3489";"T001038";"GM0738";"1968JJ00";""
"3490";"T001038";"GM0738";"1969JJ00";""
"3491";"T001038";"GM0738";"1970JJ00";""
"3492";"T001038";"GM0738";"1971JJ00";""
"3493";"T001038";"GM0738";"1972JJ00";""
"3494";"T001038";"GM0738";"1973JJ00";"    8723"
"3495";"T001038";"GM0738";"1974JJ00";"    8856"
"3496";"T001038";"GM0738";"1975JJ00";"    9103"
"3497";"T001038";"GM0738";"1976JJ00";"    9266"
"3498";"T001038";"GM0738";"1977JJ00";"    9510"
"3499";"T001038";"GM0738";"1978JJ00";"    9644"
"3500";"T001038";"GM0738";"1979JJ00";"    9864"
"3501";"T001038";"GM0738";"1980JJ00";"   10031"
"3502";"T001038";"GM0738";"1981JJ00";"   10155"
"3503";"T001038";"GM0738";"1982JJ00";"   10186"
"3504";"T001038";"GM0738";"1983JJ00";"   10286"
"3505";"T001038";"GM0738";"1984JJ00";"   10329"
"3506";"T001038";"GM0738";"1985JJ00";"   10407"
"3507";"T001038";"GM0738";"1986JJ00";"   10493"
"3508";"T001038";"GM0738";"1987JJ00";"   10537"
