"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen1Km_2";"Binnen3Km_3";"Binnen5Km_4";"AfstandTotHuisartsenpost_5";"AfstandTotApotheek_6";"AfstandTotZiekenhuis_7";"Binnen5Km_8";"Binnen10Km_9";"Binnen20Km_10";"AfstandTotZiekenhuis_11";"Binnen5Km_12";"Binnen10Km_13";"Binnen20Km_14";"AfstandTotConsultatiebureau_15";"AfstandTotFysiotherapeut_16";"Binnen1Km_17";"Binnen3Km_18";"Binnen5Km_19";"AfstandTotGroteSupermarkt_20";"Binnen1Km_21";"Binnen3Km_22";"Binnen5Km_23";"AfstandTotOvDagelLevensmiddelen_24";"Binnen1Km_25";"Binnen3Km_26";"Binnen5Km_27";"AfstandTotWarenhuis_28";"Binnen5Km_29";"Binnen10Km_30";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen1Km_33";"Binnen3Km_34";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen1Km_37";"Binnen3Km_38";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen1Km_41";"Binnen3Km_42";"Binnen5Km_43";"AfstandTotHotelED_44";"Binnen5Km_45";"Binnen10Km_46";"Binnen20Km_47";"AfstandTotKinderdagverblijf_48";"Binnen1Km_49";"Binnen3Km_50";"Binnen5Km_51";"AfstandTotBuitenschoolseOpvang_52";"Binnen1Km_53";"Binnen3Km_54";"Binnen5Km_55";"AfstandTotSchool_56";"Binnen1Km_57";"Binnen3Km_58";"Binnen5Km_59";"AfstandTotSchool_60";"Binnen3Km_61";"Binnen5Km_62";"Binnen10Km_63";"AfstandTotSchool_64";"Binnen3Km_65";"Binnen5Km_66";"Binnen10Km_67";"AfstandTotSchool_68";"Binnen3Km_69";"Binnen5Km_70";"Binnen10Km_71";"Binnen10Km_72";"Binnen20Km_73";"Binnen50Km_74";"Binnen10Km_75";"Binnen20Km_76";"Binnen50Km_77";"Binnen10Km_78";"Binnen20Km_79";"Binnen50Km_80";"Binnen10Km_81";"Binnen20Km_82";"Binnen50Km_83";"Binnen10Km_84";"Binnen20Km_85";"Binnen50Km_86";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotParkOfPlantsoen_88";"AfstandTotDagrecreatiefTerrein_89";"AfstandTotBos_90";"AfstandTotOpenNatTerreinTotaal_91";"AfstandTotOpenDroogNatTerrein_92";"AfstandTotOpenNatNatuurlijkTerrein_93";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotVolkstuin_96";"AfstandTotVerblijfsrecreatiefTerrein_97";"AfstandTotBegraafplaats_98";"AfstandTotRecreatiefBinnenwater_99";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102";"AfstandTotBibliotheek_103";"AfstandTotZwembad_104";"AfstandTotKunstijsbaan_105";"AfstandTotMuseum_106";"Binnen5Km_107";"Binnen10Km_108";"Binnen20Km_109";"AfstandTotPodiumkunstenTotaal_110";"Binnen5Km_111";"Binnen10Km_112";"Binnen20Km_113";"AfstandTotPoppodium_114";"AfstandTotBioscoop_115";"Binnen5Km_116";"Binnen10Km_117";"Binnen20Km_118";"AfstandTotSauna_119";"AfstandTotZonnebank_120";"AfstandTotAttractie_121";"Binnen10Km_122";"Binnen20Km_123";"Binnen50Km_124";"AfstandTotBrandweerkazerne_125"
"65";"PV20  ";"2006JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.7";"     7.4";"    14.4";"     2.8";"     2.7";"     4.8";"     8.0";"     2.9";"     2.3";"     4.2";"     7.1";"     4.2";"     1.8";"     3.2";"     5.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.1";"     4.3";"     1.9";"     5.2";"     7.8";"     6.2";"     0.7";"     1.0";"     2.8";"     4.3";"     1.3";"     3.6";"     1.2";"       .";"       .";"     1.6";"       .";"       .";"     3.3";"     2.9";"     5.5";"    16.7";"     6.0";"     2.1";"     3.0";"     5.7";"    18.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"66";"PV20  ";"2007JJ00";"     1.1";"     1.5";"     7.6";"    13.4";"     6.4";"       .";"     7.7";"     0.8";"     1.4";"     2.5";"     8.7";"     0.8";"     1.3";"     2.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.1";"     1.3";"     8.0";"    15.4";"     2.1";"     0.8";"     4.7";"     9.4";"     0.7";"     1.7";"     7.3";"    14.4";"     2.8";"     2.7";"     4.8";"     8.0";"     2.9";"     2.4";"     4.2";"     7.1";"     4.0";"     1.8";"     3.2";"     5.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.5";"    17.2";"     1.6";"       .";"       .";"     3.3";"     2.0";"     4.4";"    16.1";"     6.0";"     2.1";"     3.0";"     5.7";"    18.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"67";"PV20  ";"2008JJ00";"     1.2";"     1.5";"     7.3";"    12.9";"     6.4";"     1.5";"     7.7";"     0.8";"     1.4";"     2.5";"     8.7";"     0.8";"     1.3";"     2.2";"       .";"     1.1";"     1.6";"     8.4";"    15.5";"     1.1";"     1.6";"     7.8";"    14.0";"     0.9";"     7.1";"    36.2";"    60.0";"     4.2";"     1.6";"     2.8";"     7.3";"     1.2";"     6.5";"    36.9";"    58.9";"     1.4";"     4.7";"    25.9";"    41.5";"     1.1";"     7.7";"    42.6";"    68.5";"     2.7";"     4.9";"    10.4";"    31.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.8";"     1.7";"     7.3";"    14.4";"     2.8";"     2.7";"     4.8";"     7.9";"     2.9";"     2.3";"     4.2";"     7.0";"     4.2";"     1.8";"     3.2";"     5.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.0";"     4.5";"     2.1";"     5.1";"    10.6";"     5.7";"     0.8";"     1.1";"     2.7";"     4.5";"     1.3";"     3.7";"     1.2";"     5.5";"    17.2";"     1.6";"     7.0";"    18.6";"       .";"       .";"       .";"       .";"     6.0";"     2.1";"     3.0";"     5.7";"    18.3";"     9.4";"     1.2";"     1.7";"     3.1";"     9.2";"     7.2";"    16.3";"     0.2";"     1.7";"    12.2";"     2.7"
"68";"PV20  ";"2009JJ00";"     1.2";"     1.4";"     7.3";"    13.0";"       .";"     1.5";"     7.7";"     0.8";"     1.4";"     2.5";"     8.7";"     0.8";"     1.3";"     2.2";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.6";"     7.8";"    13.9";"     1.0";"     7.1";"    36.3";"    60.3";"     3.7";"     1.9";"     3.7";"     9.5";"     1.2";"     6.5";"    37.0";"    59.0";"     1.4";"     4.8";"    26.4";"    42.3";"     1.1";"     7.8";"    42.7";"    68.8";"     2.7";"     5.0";"    10.4";"    31.1";"     2.0";"     1.5";"     9.4";"    17.9";"     1.9";"     1.3";"     7.5";"    15.3";"     0.8";"     1.7";"     7.3";"    14.4";"     2.8";"     2.7";"     4.8";"     7.9";"     2.9";"     2.3";"     4.2";"     7.0";"     3.9";"     1.8";"     3.2";"     5.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.5";"    17.1";"     1.6";"     7.5";"    18.6";"     3.3";"     2.3";"     4.8";"    16.3";"     7.0";"     2.1";"     2.9";"     5.6";"    18.2";"    11.0";"     1.1";"     1.6";"     3.0";"     9.4";"     7.3";"    13.2";"     0.3";"     2.0";"    13.5";"       ."
"69";"PV20  ";"2010JJ00";"     1.2";"     1.4";"     7.1";"    12.6";"       .";"     1.6";"     7.8";"     0.6";"     1.0";"     2.0";"     8.8";"     0.6";"     0.9";"     1.7";"       .";"     1.1";"     1.7";"     9.3";"    17.1";"     1.1";"     1.6";"     7.8";"    13.9";"     1.0";"     7.0";"    35.6";"    58.9";"     3.6";"     2.0";"     3.7";"     9.5";"     1.2";"     6.4";"    35.5";"    56.8";"     1.4";"     5.1";"    27.6";"    44.0";"     1.1";"     7.9";"    43.0";"    69.1";"     2.7";"     5.7";"    11.5";"    32.4";"     1.8";"     1.7";"    10.5";"    20.1";"     1.6";"     1.4";"     8.2";"    16.9";"     0.8";"     1.7";"     7.3";"    14.5";"     2.8";"     2.8";"     5.1";"     8.3";"     2.9";"     2.4";"     4.4";"     7.4";"     3.9";"     1.9";"     3.2";"     5.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.6";"     1.1";"     4.0";"     1.6";"     3.9";"     9.4";"     4.0";"     0.9";"     1.1";"     2.7";"     4.2";"     1.3";"     3.7";"     1.2";"     5.4";"    17.0";"       .";"     4.9";"    18.4";"       .";"       .";"       .";"       .";"     7.0";"     2.1";"     2.9";"     5.6";"    18.2";"    10.9";"     1.2";"     1.6";"     3.0";"     8.9";"     7.4";"     8.4";"     0.7";"     2.8";"    15.7";"       ."
"70";"PV20  ";"2011JJ00";"     1.2";"     1.5";"     7.5";"    13.3";"     6.4";"     1.6";"     7.8";"     0.7";"     1.0";"     2.0";"     8.8";"     0.6";"     0.9";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.7";"     8.5";"    15.2";"     1.0";"     6.7";"    34.1";"    56.6";"     3.6";"     2.5";"     4.4";"    10.6";"     1.2";"     6.4";"    35.8";"    57.2";"     1.4";"     4.9";"    27.1";"    43.2";"     1.1";"     8.0";"    44.3";"    71.4";"     2.7";"     5.7";"    11.3";"    32.2";"     1.5";"     2.3";"    14.1";"    27.8";"     1.3";"     1.6";"     9.4";"    19.4";"     0.7";"     1.7";"     7.5";"    14.8";"     2.8";"     2.8";"     5.0";"     8.1";"     2.8";"     2.4";"     4.3";"     7.1";"     3.9";"     1.9";"     3.3";"     5.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.5";"    17.0";"       .";"     5.0";"    18.3";"     3.5";"     2.3";"     4.7";"    16.3";"     6.9";"     2.2";"     2.9";"     5.6";"    18.1";"    10.9";"     1.2";"     1.6";"     3.0";"     8.8";"     7.5";"     8.3";"     0.7";"     3.2";"    17.0";"       ."
"71";"PV20  ";"2012JJ00";"     1.2";"     1.4";"     7.4";"    13.3";"     6.3";"     1.5";"     7.7";"     0.7";"     1.0";"     2.0";"     8.7";"     0.6";"     0.9";"     1.7";"       .";"     1.1";"     1.8";"    10.6";"    19.5";"     1.1";"     1.7";"     8.9";"    15.8";"     1.0";"     6.6";"    33.9";"    56.2";"     3.6";"     2.5";"     4.5";"    10.7";"     1.1";"     6.1";"    34.3";"    54.6";"     1.4";"     5.3";"    29.3";"    46.7";"     1.1";"     8.4";"    47.1";"    75.7";"     2.7";"     5.8";"    11.6";"    32.9";"     1.4";"     2.4";"    14.8";"    29.3";"     1.2";"     1.8";"    10.2";"    21.0";"     0.8";"     1.6";"     7.3";"    14.6";"     2.7";"     3.2";"     6.0";"    10.3";"     2.8";"     2.5";"     4.9";"     8.3";"     3.9";"     2.1";"     3.7";"     6.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.6";"     1.0";"     3.8";"     1.6";"       .";"       .";"       .";"     1.0";"     1.1";"     2.8";"     4.2";"     1.4";"       .";"     1.2";"     5.1";"    16.9";"     1.7";"     5.1";"    18.2";"       .";"       .";"       .";"       .";"     6.9";"     1.9";"     2.6";"     5.0";"    18.0";"    10.9";"     0.9";"     1.3";"     2.4";"     9.0";"     8.5";"     8.1";"     0.8";"     3.8";"    20.6";"     2.7"
"72";"PV20  ";"2013JJ00";"     1.2";"     1.5";"     7.7";"    13.6";"     6.3";"     1.6";"     7.6";"     1.0";"     1.8";"     3.3";"     8.7";"     0.6";"     0.9";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.7";"     8.9";"    15.8";"     1.0";"     6.4";"    33.4";"    55.5";"     3.5";"     2.5";"     4.5";"    10.7";"     1.2";"     6.0";"    33.9";"    54.1";"     1.3";"     5.5";"    30.8";"    49.3";"     1.1";"     8.4";"    47.3";"    76.1";"     2.7";"     6.4";"    12.4";"    33.9";"     1.4";"     2.3";"    14.2";"    28.1";"     1.2";"     1.7";"     9.7";"    20.2";"     0.8";"     1.6";"     7.3";"    14.5";"     2.7";"     3.2";"     6.1";"    10.6";"     2.9";"     2.2";"     4.3";"     7.4";"     3.8";"     2.1";"     3.9";"     6.5";"    56.9";"   111.5";"   344.1";"     0.1";"     0.5";"     2.4";"     6.3";"    15.1";"    53.6";"    25.0";"    47.9";"   143.4";"    25.4";"    48.1";"   144.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.1";"    16.8";"     1.7";"     4.5";"    18.1";"     3.5";"     2.3";"     4.6";"    15.7";"     7.7";"     1.6";"     2.2";"     4.0";"    16.7";"    10.9";"     0.9";"     1.3";"     2.4";"     9.0";"     8.2";"     7.4";"     1.1";"     3.8";"    20.9";"     2.7"
"73";"PV20  ";"2014JJ00";"     1.2";"     1.5";"     8.1";"    14.3";"     6.3";"     1.5";"     7.6";"     1.0";"     1.8";"     3.3";"     8.7";"     0.6";"     0.9";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.8";"     9.2";"    16.3";"     1.0";"     6.4";"    33.3";"    54.7";"     3.5";"     2.6";"     4.7";"    11.3";"     1.3";"     5.8";"    33.1";"    52.1";"     1.3";"     5.8";"    32.7";"    52.0";"     1.0";"     8.9";"    49.8";"    79.4";"     2.7";"     7.1";"    13.1";"    34.5";"     1.3";"     2.3";"    14.3";"    28.5";"     1.2";"     1.6";"     9.2";"    19.5";"     0.8";"     1.6";"     7.1";"    14.0";"     2.7";"     3.6";"     6.8";"    11.5";"     2.9";"     2.2";"     4.2";"     7.1";"     3.8";"     2.3";"     4.2";"     6.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.1";"    16.7";"     1.9";"     4.5";"    18.1";"       .";"       .";"       .";"       .";"     6.3";"     2.0";"     2.7";"     5.3";"    16.6";"    10.9";"     0.9";"     1.3";"     2.4";"     9.3";"     8.2";"     7.5";"     1.1";"     3.4";"    21.1";"     2.6"
"74";"PV20  ";"2015JJ00";"     1.2";"     1.5";"     7.8";"    13.9";"     6.3";"     1.5";"     7.5";"     1.0";"     1.8";"     3.3";"     8.7";"     0.6";"     0.9";"     1.7";"       .";"       .";"       .";"       .";"       .";"     1.1";"     1.8";"     9.2";"    16.2";"     1.0";"     6.6";"    34.2";"    55.7";"     3.5";"     2.6";"     4.6";"    10.8";"     1.3";"     5.8";"    32.8";"    51.5";"     1.3";"     5.9";"    32.5";"    51.3";"     1.0";"     9.2";"    51.6";"    82.0";"     2.7";"     7.1";"    13.1";"    34.2";"     1.3";"     2.3";"    13.7";"    27.4";"     1.2";"     1.5";"     8.5";"    18.1";"     0.8";"     1.5";"     7.0";"    13.8";"     2.7";"     3.6";"     6.9";"    11.6";"     3.0";"     2.3";"     4.4";"     7.5";"     3.9";"     2.3";"     4.2";"     6.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.2";"     5.1";"    16.6";"     1.9";"     4.6";"    18.0";"     3.9";"     2.0";"     3.8";"    12.3";"     6.3";"     2.0";"     2.7";"     5.3";"    16.5";"     7.5";"     1.3";"     1.8";"     3.3";"     9.3";"     7.1";"     7.5";"     1.1";"     3.4";"    20.2";"     2.6"
