,Leeftijd,BevolkingOp1Januari_1
539,10010,    4894
923,10100,    4705
1307,10200,    5024
1691,10300,    5167
2075,10400,    5408
2459,10500,    5419
2843,10600,    5309
3227,10700,    5372
3611,10800,    5419
3995,10900,    5454
4379,11000,    5556
4763,11100,    5753
5147,11200,    5740
5531,11300,    5892
5915,11400,    5757
6299,11500,    5697
6683,11600,    5699
7067,11700,    5446
7451,11800,    5252
7835,11900,    4995
8219,12000,    5198
8603,12100,    4910
8987,12200,    4973
9371,12300,    5141
9755,12400,    5113
10139,12500,    4978
10523,12600,    5142
10907,12700,    5222
11291,12800,    5146
11675,12900,    5192
12059,13000,    5370
12443,13100,    5324
12827,13200,    5151
13211,13300,    5163
13595,13400,    5375
13979,13500,    5155
14363,13600,    5007
14747,13700,    5251
15131,13800,    5108
15515,13900,    5163
15899,14000,    5302
16283,14100,    5525
16667,14200,    6044
17051,14300,    6268
17435,14400,    6549
17819,14500,    6695
18203,14600,    6315
18587,14700,    6300
18971,14800,    6294
19355,14900,    6493
19739,15000,    6586
20123,15100,    6415
20507,15200,    6257
20891,15300,    6178
21275,15400,    5893
21659,15500,    5758
22043,15600,    5609
22427,15700,    5486
22811,15800,    5295
23195,15900,    5082
23579,16000,    4877
23963,16100,    4788
24347,16200,    4446
24731,16300,    4269
25115,16400,    3979
25499,16500,    3990
25883,16600,    3992
26267,16700,    3985
26651,16800,    4122
27035,16900,    2666
27419,17000,    2858
27803,17100,    2512
28187,17200,    2247
28571,17300,    1950
28955,17400,    1915
29339,17500,    1784
29723,17600,    1672
30107,17700,    1506
30491,17800,    1449
30875,17900,    1304
31259,18000,    1252
31643,18100,    1168
32027,18200,    1110
32411,18300,    1004
32795,18400,     936
33179,18500,     811
33563,18600,     709
33947,18700,     609
34331,18800,     538
34715,18900,     426
35099,19000,     375
35483,19100,     325
35867,19200,     242
36251,19300,     185
36635,19400,     155
37019,22000,     251
37403,19500,      84
37787,19600,      68
38171,19700,      37
38555,19800,      27
38939,19900,      18
39323,19901,      10
39707,19902,       3
40091,19903,       2
40475,19904,       0
40859,19905,       1
41243,22300,       1
41627,10000,  200949
42011,10010,    2443
42395,10100,    2437
42779,10200,    2547
43163,10300,    2651
43547,10400,    2760
43931,10500,    2733
44315,10600,    2737
44699,10700,    2780
