,Leeftijd,BevolkingOp1Januari_1
411,10010,    5327
795,10100,    5212
1179,10200,    5450
1563,10300,    5620
1947,10400,    5579
2331,10500,    5775
2715,10600,    5772
3099,10700,    5564
3483,10800,    5688
3867,10900,    5775
4251,11000,    5914
4635,11100,    6276
5019,11200,    6235
5403,11300,    6469
5787,11400,    6465
6171,11500,    6483
6555,11600,    6470
6939,11700,    6553
7323,11800,    7919
7707,11900,    9628
8091,12000,   10817
8475,12100,   10965
8859,12200,   10713
9243,12300,   10438
9627,12400,    9844
10011,12500,    8667
10395,12600,    8072
10779,12700,    7898
11163,12800,    7584
11547,12900,    7171
11931,13000,    6925
12315,13100,    6554
12699,13200,    6527
13083,13300,    6507
13467,13400,    6709
13851,13500,    6354
14235,13600,    6437
14619,13700,    6225
15003,13800,    6409
15387,13900,    6485
15771,14000,    6815
16155,14100,    7093
16539,14200,    7804
16923,14300,    8133
17307,14400,    8413
17691,14500,    8736
18075,14600,    7996
18459,14700,    8178
18843,14800,    8243
19227,14900,    8328
19611,15000,    8653
19995,15100,    8424
20379,15200,    8253
20763,15300,    8036
21147,15400,    7944
21531,15500,    8248
21915,15600,    7992
22299,15700,    7873
22683,15800,    7781
23067,15900,    7716
23451,16000,    7400
23835,16100,    7560
24219,16200,    7512
24603,16300,    7112
24987,16400,    7024
25371,16500,    7053
25755,16600,    7291
26139,16700,    7630
26523,16800,    8000
26907,16900,    5905
27291,17000,    5763
27675,17100,    5389
28059,17200,    4842
28443,17300,    4429
28827,17400,    4346
29211,17500,    4121
29595,17600,    3921
29979,17700,    3617
30363,17800,    3568
30747,17900,    3301
31131,18000,    3166
31515,18100,    2863
31899,18200,    2687
32283,18300,    2427
32667,18400,    2353
33051,18500,    1981
33435,18600,    1859
33819,18700,    1505
34203,18800,    1473
34587,18900,    1184
34971,19000,    1040
35355,19100,     908
35739,19200,     713
36123,19300,     569
36507,19400,     460
36891,22000,     836
37275,19500,     296
37659,19600,     184
38043,19700,     125
38427,19800,      75
38811,19900,      52
39195,19901,      46
39579,19902,      26
39963,19903,      13
40347,19904,      13
40731,19905,       6
41115,22300,       0
41499,10000,  290840
41883,10010,    2674
42267,10100,    2611
42651,10200,    2751
43035,10300,    2888
43419,10400,    2844
43803,10500,    3010
44187,10600,    2953
44571,10700,    2799
44955,10800,    2889
45339,10900,    2934
45723,11000,    3080
46107,11100,    3236
46491,11200,    3177
46875,11300,    3302
47259,11400,    3354
47643,11500,    3316
48027,11600,    3326
48411,11700,    3335
48795,11800,    3834
49179,11900,    4603
49563,12000,    5261
49947,12100,    5292
50331,12200,    5360
50715,12300,    5291
51099,12400,    5116
51483,12500,    4523
51867,12600,    4193
52251,12700,    4136
52635,12800,    3939
53019,12900,    3747
53403,13000,    3717
53787,13100,    3516
54171,13200,    3391
54555,13300,    3355
54939,13400,    3542
55323,13500,    3224
55707,13600,    3201
56091,13700,    3143
56475,13800,    3243
56859,13900,    3331
57243,14000,    3438
57627,14100,    3621
58011,14200,    4029
58395,14300,    4213
58779,14400,    4244
59163,14500,    4460
59547,14600,    4082
59931,14700,    4105
60315,14800,    4161
60699,14900,    4210
61083,15000,    4398
61467,15100,    4200
61851,15200,    4102
62235,15300,    4038
62619,15400,    3973
63003,15500,    4139
63387,15600,    3996
63771,15700,    3934
64155,15800,    3871
64539,15900,    3880
64923,16000,    3765
65307,16100,    3835
65691,16200,    3745
66075,16300,    3631
66459,16400,    3563
66843,16500,    3561
67227,16600,    3682
67611,16700,    3857
67995,16800,    4060
68379,16900,    2888
68763,17000,    2843
69147,17100,    2656
69531,17200,    2310
69915,17300,    2102
70299,17400,    2111
70683,17500,    1912
71067,17600,    1854
71451,17700,    1617
71835,17800,    1579
72219,17900,    1444
72603,18000,    1338
72987,18100,    1194
73371,18200,    1121
73755,18300,     968
74139,18400,     912
74523,18500,     706
74907,18600,     636
75291,18700,     511
75675,18800,     437
76059,18900,     367
76443,19000,     275
76827,19100,     224
77211,19200,     192
77595,19300,     137
77979,19400,     115
78363,22000,     161
78747,19500,      62
79131,19600,      47
79515,19700,      23
79899,19800,       8
80283,19900,       7
80667,19901,       7
81051,19902,       2
81435,19903,       3
81819,19904,       2
82203,19905,       0
82587,22300,       0
82971,10000,  293102
83355,10010,    2653
83739,10100,    2601
84123,10200,    2699
84507,10300,    2732
84891,10400,    2735
85275,10500,    2765
85659,10600,    2819
86043,10700,    2765
86427,10800,    2799
86811,10900,    2841
87195,11000,    2834
87579,11100,    3040
87963,11200,    3058
88347,11300,    3167
88731,11400,    3111
89115,11500,    3167
89499,11600,    3144
89883,11700,    3218
90267,11800,    4085
90651,11900,    5025
91035,12000,    5556
91419,12100,    5673
91803,12200,    5353
92187,12300,    5147
92571,12400,    4728
92955,12500,    4144
93339,12600,    3879
93723,12700,    3762
94107,12800,    3645
94491,12900,    3424
94875,13000,    3208
95259,13100,    3038
95643,13200,    3136
96027,13300,    3152
96411,13400,    3167
96795,13500,    3130
97179,13600,    3236
97563,13700,    3082
97947,13800,    3166
98331,13900,    3154
98715,14000,    3377
99099,14100,    3472
99483,14200,    3775
99867,14300,    3920
100251,14400,    4169
100635,14500,    4276
101019,14600,    3914
101403,14700,    4073
101787,14800,    4082
102171,14900,    4118
102555,15000,    4255
102939,15100,    4224
103323,15200,    4151
103707,15300,    3998
104091,15400,    3971
104475,15500,    4109
104859,15600,    3996
105243,15700,    3939
105627,15800,    3910
106011,15900,    3836
106395,16000,    3635
